county,town,month,month_num,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
BERGEN,Franklin Lakes,Jan,1,6,6,1991950,1887500,-9.72,-149450,-9.45,-226113,100.0,110,yes
BERGEN,Franklin Lakes,Feb,2,8,8,1399950,1462500,1.16,25500,0.67,-15850,50.0,88,yes
BERGEN,Franklin Lakes,Mar,3,8,8,1474000,1477500,-0.56,-10000,0.07,-9813,62.5,66,yes
BERGEN,Franklin Lakes,Apr,4,14,14,1639450,1814500,1.33,13050,3.52,45079,42.9,67,
BERGEN,Franklin Lakes,May,5,8,8,1039500,1130008,2.88,57500,4.6,52877,50.0,136,yes
BERGEN,Franklin Lakes,Jun,6,10,10,1445000,1455500,1.57,20000,0.77,-3595,30.0,74,
BERGEN,Franklin Lakes,Jul,7,9,9,889999,950000,4.49,40001,5.7,24111,33.3,76,yes
BERGEN,Franklin Lakes,Aug,8,6,6,1668000,1696000,-1.24,-7450,4.61,6017,66.7,122,yes
BERGEN,Franklin Lakes,Sep,9,5,5,1899000,2100777,4.84,110000,6.1,126360,40.0,64,yes
BERGEN,Franklin Lakes,Oct,10,5,5,1945000,1800000,-4.67,-95000,-8.47,-163000,100.0,190,yes
BERGEN,Franklin Lakes,Nov,11,3,3,1599000,1565000,4.18,71000,6.32,63000,33.3,99,yes
BERGEN,Franklin Lakes,Dec,12,4,4,907500,952500,5.01,45000,5.37,61750,50.0,114,yes
BERGEN,Glen Rock,Jan,1,9,9,899000,951000,6.84,60999,6.58,50811,22.2,55,yes
BERGEN,Glen Rock,Feb,2,9,9,979000,1160000,16.04,136000,12.11,100111,11.1,50,yes
BERGEN,Glen Rock,Mar,3,8,8,922000,1073258,13.71,134000,15.57,150440,0.0,56,yes
BERGEN,Glen Rock,Apr,4,7,7,899000,1250000,12.73,105000,19.49,184286,0.0,80,yes
BERGEN,Glen Rock,May,5,19,19,949000,1125000,15.95,170000,16.7,168047,5.3,61,
BERGEN,Glen Rock,Jun,6,19,19,899000,979000,9.75,71000,9.56,97395,26.3,61,
BERGEN,Glen Rock,Jul,7,20,20,872000,957000,6.75,58000,7.29,67688,15.0,60,
BERGEN,Glen Rock,Aug,8,12,12,1172000,1178500,2.8,25000,8.46,64333,25.0,54,
BERGEN,Glen Rock,Sep,9,10,10,899000,965000,8.29,79500,8.88,83010,10.0,62,
BERGEN,Glen Rock,Oct,10,14,14,844000,950500,12.18,92500,12.23,106436,0.0,54,
BERGEN,Glen Rock,Nov,11,8,8,970000,1110000,10.99,82500,10.56,93000,12.5,69,yes
BERGEN,Glen Rock,Dec,12,3,3,829000,770000,2.4,17000,0.24,6000,33.3,97,yes
ESSEX,Caldwell,Jan,1,19,19,779900,805000,0.0,0,2.68,16542,73.7,64,
ESSEX,Caldwell,Feb,2,19,19,698880,730000,9.59,60100,8.74,62638,15.8,52,
ESSEX,Caldwell,Mar,3,31,31,775000,865000,7.91,45100,8.92,74555,29.0,66,
ESSEX,Caldwell,Apr,4,29,29,799900,879000,7.65,75100,8.34,65721,20.7,61,
ESSEX,Caldwell,May,5,40,40,749500,840500,9.98,69005,11.02,74285,15.0,59,
ESSEX,Caldwell,Jun,6,44,44,729000,766500,4.88,33050,6.18,42541,25.0,56,
ESSEX,Caldwell,Jul,7,19,19,725000,790000,4.31,20100,7.11,45891,26.3,64,
ESSEX,Caldwell,Aug,8,18,18,724500,775000,10.21,90550,10.43,82306,11.1,57,
ESSEX,Caldwell,Sep,9,28,28,664362,728500,7.29,32000,7.82,48298,17.9,58,
ESSEX,Caldwell,Oct,10,36,36,712350,758500,4.61,19000,5.45,25772,27.8,70,
ESSEX,Caldwell,Nov,11,21,21,690000,680000,2.29,16000,5.82,44686,33.3,77,
ESSEX,Caldwell,Dec,12,22,22,650000,722500,3.88,20050,4.35,28755,27.3,82,
ESSEX,Cedar Grove,Jan,1,11,11,920000,999000,5.41,62500,6.07,57700,18.2,59,
ESSEX,Cedar Grove,Feb,2,16,16,749000,770000,2.47,18000,5.37,46075,25.0,64,
ESSEX,Cedar Grove,Mar,3,19,19,749000,762000,9.4,75001,10.25,78447,10.5,59,
ESSEX,Cedar Grove,Apr,4,21,21,749900,775000,6.8,50000,7.89,61286,19.0,63,
ESSEX,Cedar Grove,May,5,19,19,625000,711000,12.16,85100,12.94,85113,5.3,54,
ESSEX,Cedar Grove,Jun,6,21,21,649000,685000,8.58,57100,9.84,63339,9.5,55,
ESSEX,Cedar Grove,Jul,7,19,19,649000,750000,8.0,57000,7.56,53484,10.5,55,
ESSEX,Cedar Grove,Aug,8,22,22,689450,755000,1.19,8500,4.38,27373,22.7,62,
ESSEX,Cedar Grove,Sep,9,19,19,617000,707000,10.73,70000,6.82,19989,26.3,49,
ESSEX,Cedar Grove,Oct,10,14,14,739000,749000,4.02,28000,4.82,43100,28.6,58,
ESSEX,Cedar Grove,Nov,11,10,10,675000,710000,7.59,51000,8.09,52410,30.0,68,
ESSEX,Cedar Grove,Dec,12,12,12,734000,774750,8.39,60100,5.16,42558,33.3,64,
ESSEX,Essex Fells,Jan,1,1,1,1399000,1450000,3.65,51000,3.65,51000,0.0,44,yes
ESSEX,Essex Fells,Feb,2,2,2,1449000,1525000,5.12,76000,5.12,76000,0.0,52,yes
ESSEX,Essex Fells,Mar,3,5,5,850000,1051000,-2.35,-20000,4.95,-580,60.0,68,yes
ESSEX,Essex Fells,Apr,4,1,1,2000000,2100000,5.0,100000,5.0,100000,0.0,250,yes
ESSEX,Essex Fells,May,5,6,6,1494000,1467500,-3.23,-49500,-1.19,-50333,83.3,83,yes
ESSEX,Essex Fells,Jun,6,6,6,1612500,1530000,-6.77,-92500,-5.38,-91667,83.3,80,yes
ESSEX,Essex Fells,Jul,7,2,2,2632500,2587500,-1.5,-45000,-1.5,-45000,100.0,78,yes
ESSEX,Essex Fells,Aug,8,7,7,1425000,1400000,0.07,1000,7.94,12857,42.9,56,yes
ESSEX,Essex Fells,Sep,9,1,1,2499000,2600000,4.04,101000,4.04,101000,0.0,61,yes
ESSEX,Essex Fells,Oct,10,4,4,1474500,1387500,3.17,38000,3.2,6750,50.0,78,yes
ESSEX,Essex Fells,Dec,12,1,1,1725000,1630000,-5.51,-95000,-5.51,-95000,100.0,161,yes
ESSEX,Glen Ridge,Jan,1,12,11,599000,785000,18.47,151000,14.89,197290,36.4,57,
ESSEX,Glen Ridge,Feb,2,19,16,784000,995000,29.95,246000,26.98,242019,0.0,62,
ESSEX,Glen Ridge,Mar,3,17,14,1119500,1304535,17.45,207000,20.5,215346,7.1,64,
ESSEX,Glen Ridge,Apr,4,21,17,899900,1203000,22.07,161000,17.65,146182,17.6,72,
ESSEX,Glen Ridge,May,5,41,36,914000,1180000,12.63,175500,17.45,183780,13.9,58,
ESSEX,Glen Ridge,Jun,6,25,22,914000,1187500,25.52,188500,21.17,195850,9.1,58,
ESSEX,Glen Ridge,Jul,7,23,23,729000,865000,25.85,217084,23.61,199873,8.7,52,
ESSEX,Glen Ridge,Aug,8,13,13,799000,975000,3.61,18000,7.93,68354,38.5,58,
ESSEX,Glen Ridge,Sep,9,12,12,724000,810000,24.14,161000,22.44,186325,0.0,52,
ESSEX,Glen Ridge,Oct,10,18,13,749000,905000,19.31,181000,19.26,205308,7.7,54,
ESSEX,Glen Ridge,Nov,11,9,8,1389500,1460000,24.64,251000,18.92,248000,12.5,58,yes
ESSEX,Glen Ridge,Dec,12,6,6,844000,1075000,23.3,166000,20.01,180500,16.7,74,yes
ESSEX,Livingston,Jan,1,26,26,1549500,1607500,0.0,0,1.46,11273,57.7,90,
ESSEX,Livingston,Feb,2,31,31,999900,1150000,5.1,50000,8.35,71599,32.3,75,
ESSEX,Livingston,Mar,3,50,50,1162000,1255500,3.18,37475,6.22,51540,38.0,63,
ESSEX,Livingston,Apr,4,50,50,1070000,1200500,3.96,33500,7.03,57201,34.0,65,
ESSEX,Livingston,May,5,64,64,999450,1087500,6.56,55500,7.93,78950,23.4,67,
ESSEX,Livingston,Jun,6,68,68,947500,1010000,3.88,30000,5.25,40271,32.4,62,
ESSEX,Livingston,Jul,7,48,48,954500,1025000,2.8,29000,4.3,30710,39.6,60,
ESSEX,Livingston,Aug,8,39,39,899900,995000,4.41,40000,4.61,22054,38.5,68,
ESSEX,Livingston,Sep,9,44,44,1157500,1144950,1.21,12500,4.1,39573,43.2,70,
ESSEX,Livingston,Oct,10,56,56,999500,1062500,1.07,11000,2.67,23438,42.9,72,
ESSEX,Livingston,Nov,11,33,33,949000,999990,1.41,15000,4.4,42880,36.4,73,
ESSEX,Livingston,Dec,12,25,25,899000,976000,0.0,0,0.39,-3436,64.0,88,
ESSEX,Maplewood,Jan,1,39,39,895000,1075000,11.11,125000,13.32,134205,12.8,50,
ESSEX,Maplewood,Feb,2,37,37,879000,1100000,17.7,150999,18.42,170680,5.4,43,
ESSEX,Maplewood,Mar,3,62,61,899000,1170000,12.22,130000,16.63,160528,11.5,54,
ESSEX,Maplewood,Apr,4,64,63,895000,1150000,16.13,150000,16.93,157909,12.7,64,
ESSEX,Maplewood,May,5,105,104,864000,1025000,12.62,101000,16.82,155884,9.6,56,
ESSEX,Maplewood,Jun,6,64,64,799000,918500,11.48,81500,12.96,112306,14.1,56,
ESSEX,Maplewood,Jul,7,45,45,779000,848000,10.15,61000,12.24,106848,11.1,54,
ESSEX,Maplewood,Aug,8,33,33,849000,920000,6.06,60000,7.31,65247,27.3,61,
ESSEX,Maplewood,Sep,9,46,46,799000,876250,5.66,38500,8.52,77239,32.6,64,
ESSEX,Maplewood,Oct,10,57,57,829000,910000,6.39,47000,8.44,73579,28.1,57,
ESSEX,Maplewood,Nov,11,44,44,812000,901000,7.22,48500,9.89,89608,22.7,61,
ESSEX,Maplewood,Dec,12,25,24,664000,672000,1.78,12000,5.19,42875,33.3,64,
ESSEX,Montclair,Jan,1,29,25,1050000,1100000,9.38,100000,16.21,143659,20.0,72,
ESSEX,Montclair,Feb,2,47,39,900000,1212000,17.02,176000,19.87,206640,7.7,53,
ESSEX,Montclair,Mar,3,68,58,1074500,1376000,21.99,202050,22.33,251360,8.6,56,
ESSEX,Montclair,Apr,4,89,77,1079000,1390000,20.51,210000,20.26,236390,9.1,65,
ESSEX,Montclair,May,5,144,122,1082500,1350000,22.32,252500,21.63,262508,7.4,65,
ESSEX,Montclair,Jun,6,85,81,945000,1250000,19.14,191000,20.02,213322,8.6,55,
ESSEX,Montclair,Jul,7,66,63,995000,1121000,14.05,107000,16.24,146173,14.3,55,
ESSEX,Montclair,Aug,8,38,35,849000,975000,4.0,26000,7.46,65857,31.4,66,
ESSEX,Montclair,Sep,9,56,50,1049000,1303000,19.43,171500,17.9,199190,16.0,60,
ESSEX,Montclair,Oct,10,76,66,899000,1115000,13.72,125500,17.2,154168,16.7,54,
ESSEX,Montclair,Nov,11,40,39,849900,1050000,18.03,126000,18.31,196697,20.5,54,
ESSEX,Montclair,Dec,12,25,24,985000,999000,7.79,44016,11.22,117272,33.3,62,
ESSEX,North Caldwell,Feb,2,2,2,1006500,1094000,8.88,87500,8.88,87500,0.0,52,yes
ESSEX,North Caldwell,Mar,3,2,2,874450,927500,6.09,53050,6.09,53050,0.0,35,yes
ESSEX,North Caldwell,May,5,4,4,1399995,1515000,11.5,115005,12.43,114252,50.0,106,yes
ESSEX,North Caldwell,Jun,6,10,10,1287000,1335000,2.5,38050,6.49,52410,30.0,49,
ESSEX,North Caldwell,Jul,7,8,7,1125000,1250000,3.33,28000,1.65,11014,42.9,77,yes
ESSEX,North Caldwell,Aug,8,6,6,799500,875000,3.83,25500,8.13,82600,33.3,47,yes
ESSEX,North Caldwell,Sep,9,8,8,1047000,1125000,3.73,33500,5.12,55950,12.5,68,yes
ESSEX,North Caldwell,Oct,10,8,8,899000,1012500,6.42,46000,7.47,52375,37.5,50,yes
ESSEX,North Caldwell,Dec,12,1,1,910000,885000,-2.75,-25000,-2.75,-25000,100.0,93,yes
ESSEX,Nutley,Jan,1,22,22,605000,610000,3.6,15100,4.59,25914,36.4,72,
ESSEX,Nutley,Feb,2,30,30,642450,657500,3.79,18000,6.0,37793,33.3,71,
ESSEX,Nutley,Mar,3,27,27,599999,686800,7.5,46000,8.92,54193,11.1,65,
ESSEX,Nutley,Apr,4,36,36,631950,677500,5.92,35500,5.93,37203,19.4,63,
ESSEX,Nutley,May,5,56,56,627000,673500,6.81,39000,6.9,38824,19.6,68,
ESSEX,Nutley,Jun,6,64,64,599450,625000,4.39,20500,4.65,19108,28.1,70,
ESSEX,Nutley,Jul,7,45,45,649900,649000,2.12,12000,3.53,21219,37.8,66,
ESSEX,Nutley,Aug,8,48,48,603950,627000,7.32,37500,7.07,43006,27.1,66,
ESSEX,Nutley,Sep,9,26,26,589000,600500,3.3,20550,4.28,24887,23.1,59,
ESSEX,Nutley,Oct,10,38,38,653000,707500,5.71,24000,6.01,35013,31.6,63,
ESSEX,Nutley,Nov,11,30,30,622500,610000,4.11,23050,3.63,24327,30.0,63,
ESSEX,Nutley,Dec,12,22,22,604500,627500,2.72,10500,5.33,31448,36.4,77,
ESSEX,Roseland,Jan,1,2,2,662450,700000,5.18,37550,5.18,37550,0.0,46,yes
ESSEX,Roseland,Feb,2,7,7,699900,710000,1.17,11112,3.53,28830,0.0,63,yes
ESSEX,Roseland,Mar,3,5,5,850000,932000,7.25,63000,6.79,54000,0.0,69,yes
ESSEX,Roseland,Apr,4,7,7,685000,720000,1.31,9000,2.28,15143,42.9,73,yes
ESSEX,Roseland,May,5,12,12,764450,795000,8.9,55550,8.22,60025,25.0,58,
ESSEX,Roseland,Jun,6,11,11,779000,875000,6.61,76000,7.9,63621,36.4,85,
ESSEX,Roseland,Jul,7,8,8,659000,707500,8.03,44000,5.96,39375,37.5,59,yes
ESSEX,Roseland,Aug,8,8,8,547000,577500,1.94,11000,0.49,3750,50.0,73,yes
ESSEX,Roseland,Sep,9,7,7,859000,915000,7.69,56000,9.17,76714,14.3,67,yes
ESSEX,Roseland,Oct,10,5,5,849000,869000,0.11,1000,2.39,20840,40.0,52,yes
ESSEX,Roseland,Nov,11,7,7,799000,800000,1.64,15000,7.19,43871,28.6,66,yes
ESSEX,Roseland,Dec,12,5,5,620000,718000,7.95,60000,7.56,56220,20.0,52,yes
ESSEX,Short Hills,Jan,1,13,13,1858000,1880000,3.34,57500,5.99,80423,23.1,70,
ESSEX,Short Hills,Feb,2,25,25,1895000,2100000,4.86,70000,7.22,104758,40.0,66,
ESSEX,Short Hills,Mar,3,44,44,1956500,2232500,6.17,128750,8.01,134379,29.5,72,
ESSEX,Short Hills,Apr,4,29,29,1998000,2200000,7.21,155000,8.07,150160,24.1,71,
ESSEX,Short Hills,May,5,67,67,2195000,2425000,8.14,150000,7.13,116906,31.3,66,
ESSEX,Short Hills,Jun,6,46,46,2141500,2205000,4.16,87000,5.3,92837,37.0,60,
ESSEX,Short Hills,Jul,7,29,29,2250000,2280000,1.88,45000,1.55,-1810,41.4,62,
ESSEX,Short Hills,Aug,8,18,18,1824000,1949000,-0.59,-9500,1.65,20711,50.0,64,
ESSEX,Short Hills,Sep,9,13,13,2650000,2650000,5.95,160000,7.03,136077,23.1,73,
ESSEX,Short Hills,Oct,10,30,30,2191500,2332500,1.94,28500,3.58,46343,46.7,78,
ESSEX,Short Hills,Nov,11,21,21,1950000,2025000,0.31,6000,3.23,24890,47.6,67,
ESSEX,Short Hills,Dec,12,12,11,1988000,2178100,-0.95,-20000,0.94,-6809,63.6,68,
ESSEX,South Orange,Jan,1,20,20,804500,975000,12.71,88500,12.62,113490,5.0,43,
ESSEX,South Orange,Feb,2,22,21,899880,1038000,8.35,104000,11.09,102202,9.5,54,
ESSEX,South Orange,Mar,3,46,46,967000,1219500,17.69,173000,18.37,186454,6.5,64,
ESSEX,South Orange,Apr,4,47,46,1072500,1200050,12.96,122500,14.1,149180,13.0,70,
ESSEX,South Orange,May,5,67,67,1049000,1125000,11.97,126000,12.63,138550,20.9,61,
ESSEX,South Orange,Jun,6,36,36,899000,1112500,7.89,58000,11.2,105639,16.7,56,
ESSEX,South Orange,Jul,7,36,36,897000,997000,5.87,44500,7.8,70465,13.9,58,
ESSEX,South Orange,Aug,8,29,29,745000,760000,8.86,45000,11.28,82152,13.8,54,
ESSEX,South Orange,Sep,9,29,29,869000,1050000,4.41,31000,6.08,50114,17.2,60,
ESSEX,South Orange,Oct,10,35,35,925000,999999,7.39,51000,8.46,81122,17.1,60,
ESSEX,South Orange,Nov,11,16,16,960500,1187135,7.21,49000,11.52,110454,12.5,62,
ESSEX,South Orange,Dec,12,15,15,699000,699000,2.32,30000,6.14,55067,46.7,81,
ESSEX,Verona,Jan,1,11,11,665000,853000,0.0,0,9.65,70636,63.6,75,
ESSEX,Verona,Feb,2,17,16,597450,668000,12.46,73800,11.36,76676,31.2,58,
ESSEX,Verona,Mar,3,30,28,699000,813500,10.5,50600,11.87,89117,28.6,54,
ESSEX,Verona,Apr,4,36,36,682000,840000,12.75,75500,13.07,97854,16.7,52,
ESSEX,Verona,May,5,37,37,699000,800000,4.18,26000,8.27,66508,32.4,61,
ESSEX,Verona,Jun,6,38,38,594450,615000,5.74,35100,7.58,58721,28.9,64,
ESSEX,Verona,Jul,7,41,41,699000,782500,5.76,30000,7.48,58859,29.3,70,
ESSEX,Verona,Aug,8,28,28,602000,668000,4.99,24000,7.95,61486,25.0,52,
ESSEX,Verona,Sep,9,25,25,599000,670000,3.18,25100,5.64,35901,28.0,64,
ESSEX,Verona,Oct,10,19,19,629000,700000,8.66,32000,8.42,60745,36.8,56,
ESSEX,Verona,Nov,11,27,26,627500,714500,8.86,58050,8.99,66246,26.9,67,
ESSEX,Verona,Dec,12,14,14,765950,747000,0.0,0,-1.09,1586,57.1,96,
ESSEX,West Orange,Jan,1,50,50,599450,650000,4.9,35050,6.12,35636,30.0,66,
ESSEX,West Orange,Feb,2,76,76,587000,656000,10.04,61500,11.38,75501,14.5,58,
ESSEX,West Orange,Mar,3,85,83,599000,653500,9.35,56000,11.13,67049,14.5,54,
ESSEX,West Orange,Apr,4,97,97,699000,720000,9.09,55000,9.26,64681,21.6,62,
ESSEX,West Orange,May,5,128,127,629000,700000,8.74,50000,10.49,67908,11.0,59,
ESSEX,West Orange,Jun,6,97,97,615000,661550,10.18,61000,9.93,60424,18.6,62,
ESSEX,West Orange,Jul,7,76,76,627500,656250,4.46,26500,6.79,45640,26.3,59,
ESSEX,West Orange,Aug,8,83,83,595000,616000,6.89,36000,7.81,47257,22.9,59,
ESSEX,West Orange,Sep,9,70,70,627450,670500,6.31,31000,6.94,43923,24.3,64,
ESSEX,West Orange,Oct,10,85,85,599000,650000,7.32,41000,8.76,54416,21.2,62,
ESSEX,West Orange,Nov,11,66,66,599000,641000,5.72,30000,6.3,32869,24.2,62,
